Ders,Hoca,Gün,Saat,Sýnýf
 , , , , 
 , , , , 
English II,BURAK AKYOL,Pzt,08.00,G-151
English II,BURAK AKYOL,Pzt,09.00,G-151
Fizik II,Aslý Ayten Kaya,Pzt,10.00,E-347
Fizik II,Aslý Ayten Kaya,Pzt,11.00,E-347
Fizik II,Aslý Ayten Kaya,Pzt,13.00,E-347
Fizik II - labaratuvar,Aslý Ayten Kaya,Pzt,14.00,G-374
Fizik II - labaratuvar,Aslý Ayten Kaya,Pzt,15.00,G-374
Bilgisayar Destekli Teknik Resim,Mehmet Onur Genç,Pzt,16.00,E-243
 , , , , 
 , , , , 
 , ,Sal,08.00, 
 , ,Sal,09.00, 
 , ,Sal,10.00, 
 , ,Sal,11.00, 
 , ,Sal,13.00, 
 , ,Sal,14.00, 
 , ,Sal,15.00, 
 , ,Sal,16.00, 
 , , , , 
 , , , , 
Bilgisayar Destekli Teknik Resim,Mehmet Onur Genç,Çar,08.00,E-243
Bilgisayar Destekli Teknik Resim - labaratuvar,Mehmet Onur Genç,Çar,09.00,G-374
Bilgisayar Destekli Teknik Resim - labaratuvar,Mehmet Onur Genç,Çar,10.00,G-374
Matematik II,Burhan Alveroðlu,Çar,11.00,G-151
Matematik II,Burhan Alveroðlu,Çar,13.00,G-151
Matematik II,Burhan Alveroðlu,Çar,14.00,G-151
Matematik II,Burhan Alveroðlu,Çar,15.00,G-151
Fundementals Of Electrical Circuits,Ahmet Fenercioðlu,Çar,16.00,E-347
 , , , , 
 , , , , 
Fundementals Of Electrical Circuits,Ahmet Fenercioðlu,Per,08.00,E-347
Fundementals Of Electrical Circuits,Ahmet Fenercioðlu,Per,09.00,E-347
Fundementals Of Electrical Circuits - labaratuvar,Ahmet Fenercioðlu,Per,10.00,G-374
Computer Programming II, Saffet Vatansever,Per,11.00,E-243
Computer Programming II, Saffet Vatansever,Per,13.00,E-243
Fundementals Of Electrical Circuits - labaratuvar,Ahmet Fenercioðlu,Per,14.00,G-374
Computer Programming II, Saffet Vatansever,Per,15.00,E-243
Computer Programming II - labaratuvar, Saffet Vatansever,Per,16.00,G-374
 , , , , 
 , , , , 
Computer Programming II - labaratuvar, Saffet Vatansever,Cum,08.00,G-374
Türk Dili II ,NÝHAL ÖZCAN,Cum,09.00,G-151
Türk Dili II ,NÝHAL ÖZCAN,Cum,10.00,G-151
 , ,Cum,11.00, 
 , ,Cum,13.00, 
 , ,Cum,14.00, 
 , ,Cum,15.00, 
 , ,Cum,16.00, 
